nreqs,ctxlen,prefixlen,relay,Memory (GB),Lantency (us),KV mem (GB),Prefix KV mem (GB),cache_op,attn_usr,attn_sys,relay_fusion,others
128,128,128,false,0.920649728,1313.8377573341131,0.872415328,0.0,63,522,0,0,728.8377573341131
32,256,64,false,0.278921216,432.62332677841187,0.272629856,0.0,20,163,0,0,249.62332677841187
8,128,512,true,0.056623104,150.7143024355173,0.027263072,0.013631584,16,23,19,3,89.71430243551731
8,128,16384,true,0.4718592,763.6478450149298,0.027263072,0.436207712,14,17,273,2,457.64784501492977
32,128,4096,false,3.605004288,4802.112281322479,3.598712928,0.0,20,4828,0,0,-45.88771867752075
16,256,64,true,0.117440512,220.5367386341095,0.109052,0.001704032,17,73,11,3,116.5367386341095
32,128,2048,true,0.190840832,345.4846702516079,0.109052,0.054526048,16,68,54,4,203.4846702516079
128,256,64,false,1.138753536,1605.1991004496813,1.090519136,0.0,62,646,0,0,897.1991004496813
64,128,64,false,0.33554432,527.0275846123695,0.327155808,0.0,30,192,0,0,305.02758461236954
1,128,512,false,0.027262976,79.15249094367027,0.017039456,0.0,13,27,0,0,39.15249094367027
16,256,2048,true,0.169869312,331.9350350648165,0.109052,0.054526048,16,65,53,3,194.93503506481647
16,256,1024,true,0.144703488,266.6050661355257,0.109052,0.027263072,17,65,32,3,149.6050661355257
4,128,2048,true,0.081788928,200.49330778419971,0.013631584,0.054526048,14,13,53,2,118.49330778419971
8,256,4096,true,0.169869312,308.2732856273651,0.054526048,0.109052,15,31,83,3,176.2732856273651
1,256,4096,false,0.123731968,209.74474027752876,0.115867744,0.0,14,77,0,0,118.74474027752876
1,256,2048,false,0.069206016,154.82456423342228,0.061341792,0.0,15,46,0,0,93.82456423342228
4,128,512,false,0.077594624,126.6197394579649,0.068157536,0.0,12,49,0,0,65.6197394579649
64,128,256,true,0.270532608,443.7540378421545,0.218103904,0.00681584,28,126,18,5,266.7540378421545
16,128,512,false,0.278921216,403.06019596755505,0.272629856,0.0,18,157,0,0,228.06019596755505
64,128,2048,false,3.716153344,4989.737030118704,3.707764832,0.0,32,4905,0,0,52.73703011870384
128,256,4096,false,14.87929344,19747.807383537292,14.83105904,0.0,61,19333,0,0,353.8073835372925
16,256,512,true,0.13631488,252.60950438678265,0.109052,0.013631584,18,68,20,3,143.60950438678265
4,128,8192,false,0.895483904,1272.0957584679127,0.886046816,0.0,15,535,0,0,722.0957584679127
64,128,4096,false,7.205814272,9590.769363567233,7.19742576,0.0,31,9562,0,0,-2.2306364327669144
8,256,2048,true,0.11534336,248.60984645783898,0.054526048,0.054526048,14,31,55,3,145.60984645783898
4,128,1024,false,0.132120576,219.45934742689133,0.122683488,0.0,16,76,0,0,127.45934742689133
16,256,16384,true,0.551550976,864.1688153147697,0.109052,0.436207712,15,69,273,3,504.16881531476974
4,128,1024,true,0.056623104,166.61349684000015,0.013631584,0.027263072,16,15,32,2,101.61349684000015
1,128,4096,false,0.119537664,204.39771004021168,0.112459872,0.0,15,69,0,0,120.39771004021168
4,128,128,false,0.035651584,74.43820126354694,0.027263072,0.0,16,24,0,0,34.438201263546944
8,256,1024,true,0.090177536,205.4113056510687,0.054526048,0.027263072,16,35,32,3,119.41130565106869
32,128,8192,false,7.115636736,9745.288416743279,7.088373856,0.0,20,9579,0,0,146.2884167432785
8,128,512,false,0.144703488,217.3399180173874,0.136314976,0.0,16,82,0,0,119.33991801738739
128,256,2048,true,0.97517568,1551.4813922345638,0.872415328,0.054526048,43,519,110,9,870.4813922345638
1,128,64,true,0.027262976,106.96398094296455,0.003407968,0.001704032,13,11,11,2,69.96398094296455
16,128,1024,true,0.090177536,207.77957513928413,0.054526048,0.027263072,17,35,32,3,120.77957513928413
32,128,128,false,0.224395264,353.147117421031,0.218103904,0.0,19,131,0,0,203.147117421031
64,256,256,true,0.488636416,734.2074159532785,0.436207712,0.00681584,28,257,18,6,425.20741595327854
16,128,128,false,0.11534336,209.91399884223938,0.109052,0.0,17,74,0,0,118.91399884223938
8,256,64,false,0.077594624,153.63750979304314,0.068157536,0.0,15,48,0,0,90.63750979304314
128,128,64,false,0.70254592,1039.0989482402802,0.65431152,0.0,64,387,0,0,588.0989482402802
64,256,4096,true,0.5767168,871.7431128025055,0.436207712,0.109052,23,260,86,6,496.7431128025055
128,128,4096,true,0.593494016,1174.3777059018612,0.436207712,0.109052,44,250,205,9,666.3777059018612
16,256,1024,false,0.551550976,772.8377729654312,0.545259616,0.0,17,323,0,0,432.8377729654312
8,128,16384,false,3.546284032,4866.331107914448,3.516924,0.0,15,4781,0,0,70.33110791444778
32,128,2048,false,1.860173824,2531.3803739845753,1.853882464,0.0,20,1090,0,0,1421.3803739845753
32,256,2048,false,1.969225728,2666.3238555192947,1.962934368,0.0,19,1149,0,0,1498.3238555192947
1,128,512,true,0.027262976,113.70356194674969,0.003407968,0.013631584,14,11,19,2,67.70356194674969
16,256,4096,true,0.224395264,396.98367938399315,0.109052,0.109052,15,63,83,3,232.98367938399315
64,128,512,true,0.270532608,446.2154395878315,0.218103904,0.013631584,26,130,23,5,262.2154395878315
64,128,512,false,1.098907648,1516.491062939167,1.090519136,0.0,31,636,0,0,849.491062939167
1,128,2048,false,0.065011712,158.40806998312473,0.05793392,0.0,15,47,0,0,96.40806998312473
4,128,16384,true,0.463470592,731.2470022588968,0.013631584,0.436207712,15,14,265,2,435.2470022588968
8,256,128,false,0.090177536,157.14673325419426,0.081789024,0.0,15,53,0,0,89.14673325419426
128,128,8192,true,0.70254592,1513.9261353760958,0.436207712,0.218103904,42,253,390,9,819.9261353760958
